"","npar","Sum Sq","Mean Sq","F value","p_value","psig","Terms"
"Metadata_Stiffness",1,0.857968895948356,0.857968895948356,14.1295401040562,0.0640491977688922,"","Metadata_Stiffness"
"CollagenI",4,0.39276167347709,0.0981904183692726,1.6170579851256,0.167622931487158,"","CollagenI"
"CollagenIV",4,0.431443551833233,0.107860887958308,1.77631700783447,0.131251024198863,"","CollagenIV"
"Hyaluronic_Acid",4,0.798279165421078,0.199569791355269,3.28663356425701,0.0108834803443074,"*","Hyaluronic_Acid"
"TenascinC",4,0.304504413912089,0.0761261034780223,1.25368977492978,0.286473985996065,"","TenascinC"
"Laminin",4,0.230125050189877,0.0575312625474692,0.947458917497145,0.435625178136026,"","Laminin"
"Fibronectin",4,0.730369998347005,0.182592499586751,3.00704146478307,0.0175400067747125,"*","Fibronectin"
"Galectin3",4,0.159746906833798,0.0399367267084494,0.657701676968174,0.621506217917129,"","Galectin3"
"Osteopontin",4,1.25487839990329,0.313719599975822,5.16652024358893,0.000398474103678215,"***","Osteopontin"
"Decorin",2,0.000831941289770401,0.000415970644885201,0.00685045103239888,0.993173001395564,"","Decorin"
"Abb_ECMs",28,2.25960536079877,0.0807001914570991,1.32901856580443,0.11818604455598,"","Abb_ECMs"
"Metadata_Stiffness:CollagenI",4,0.151113193797109,0.0377782984492772,0.622155401580194,0.646771615201242,"","Metadata_Stiffness:CollagenI"
"Metadata_Stiffness:CollagenIV",4,0.412930273437795,0.103232568359449,1.70009509851433,0.147645537517771,"","Metadata_Stiffness:CollagenIV"
"Metadata_Stiffness:Hyaluronic_Acid",4,0.353919259288465,0.0884798148221162,1.45713801261602,0.213108462209163,"","Metadata_Stiffness:Hyaluronic_Acid"
"Metadata_Stiffness:TenascinC",4,0.220356612057522,0.0550891530143805,0.907240810816093,0.458931024983158,"","Metadata_Stiffness:TenascinC"
"Metadata_Stiffness:Laminin",4,0.234326151191594,0.0585815377978985,0.964755472583602,0.425868760731392,"","Metadata_Stiffness:Laminin"
"Metadata_Stiffness:Fibronectin",4,0.454797182452007,0.113699295613002,1.87246736420564,0.112967644328414,"","Metadata_Stiffness:Fibronectin"
"Metadata_Stiffness:Galectin3",4,0.660897347427664,0.165224336856916,2.72101227073668,0.0284078752423849,"*","Metadata_Stiffness:Galectin3"
"Metadata_Stiffness:Osteopontin",4,1.14344194448351,0.285860486120877,4.70771985078239,0.000903720320420298,"***","Metadata_Stiffness:Osteopontin"
"Metadata_Stiffness:Decorin",2,0.0493486735057408,0.0246743367528704,0.40635159658708,0.66617400803665,"","Metadata_Stiffness:Decorin"
"Metadata_Stiffness:Abb_ECMs",28,5.13714821139666,0.183469578978452,3.02148572785368,2.81642605348686e-07,"***","Metadata_Stiffness:Abb_ECMs"
"CollagenI:Abb_ECMs",13,1.81059188108298,0.139276298544845,2.29368460223567,0.00542553759187947,"**","CollagenI:Abb_ECMs"
"CollagenIV:Abb_ECMs",12,0.673794156355481,0.0561495130296234,0.924703447784478,0.521133120810438,"","CollagenIV:Abb_ECMs"
"Hyaluronic_Acid:Abb_ECMs",10,1.62949607724599,0.162949607724599,2.68355068366432,0.00299683914969595,"**","Hyaluronic_Acid:Abb_ECMs"
"TenascinC:Abb_ECMs",8,1.02473967041904,0.12809245880238,2.10950250320535,0.0323160670047671,"*","TenascinC:Abb_ECMs"
"Laminin:Abb_ECMs",6,0.171745903438882,0.0286243172398136,0.471402215512854,0.829874976901193,"","Laminin:Abb_ECMs"
"Fibronectin:Abb_ECMs",4,1.19019831173862,0.297549577934656,4.90022274027259,0.0006413859924983,"***","Fibronectin:Abb_ECMs"
"Galectin3:Abb_ECMs",1,0.789649247640618,0.789649247640618,13.0044116580043,0.000324430649128793,"***","Galectin3:Abb_ECMs"
"Metadata_Stiffness:CollagenI:Abb_ECMs",13,1.60754308661697,0.123657160508998,2.03645938310421,0.0155187061744659,"*","Metadata_Stiffness:CollagenI:Abb_ECMs"
"Metadata_Stiffness:CollagenIV:Abb_ECMs",12,1.21131092151963,0.100942576793303,1.66238216063906,0.0697587204358242,"","Metadata_Stiffness:CollagenIV:Abb_ECMs"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECMs",10,1.00346855392567,0.100346855392567,1.65257146766139,0.0871107119971672,"","Metadata_Stiffness:Hyaluronic_Acid:Abb_ECMs"
"Metadata_Stiffness:TenascinC:Abb_ECMs",8,0.848543863515627,0.106067982939453,1.74679038573161,0.0837402802915741,"","Metadata_Stiffness:TenascinC:Abb_ECMs"
"Metadata_Stiffness:Laminin:Abb_ECMs",6,0.940089003447274,0.156681500574546,2.58032378141713,0.0173409006599863,"*","Metadata_Stiffness:Laminin:Abb_ECMs"
"Metadata_Stiffness:Fibronectin:Abb_ECMs",4,0.512319322107407,0.128079830526852,2.10929453328201,0.0775662598608328,"","Metadata_Stiffness:Fibronectin:Abb_ECMs"
"Metadata_Stiffness:Galectin3:Abb_ECMs",1,0.385079766582378,0.385079766582378,6.34172174641841,0.0119314153167475,"*","Metadata_Stiffness:Galectin3:Abb_ECMs"
